Borrowed words,Relation,Donor languoid,Source word,
aanbidden,immediate,Latin,adorare,
adelaar,immediate,High German,Adler,
adres,immediate,French,adresse,
alligator,immediate,English,alligator,
altaar,immediate,Latin,altāre,
anker,immediate,Latin,ancora,
arts,immediate,High German,Artz,
auto,immediate,English,auto(mobile),
baai,immediate,French,baie,
baarmoeder,immediate,Latin,Latijn matrix,
baby,immediate,English,baby,
bamboe,immediate,Indonesian,bambu,
banaan,immediate,Portuguese,banana,
bank,immediate,Italian,banco,
banyan,immediate,English,banyan,
bataat,immediate,Portuguese,batata,
bataat,immediate,Spanish,batata,
batterij,immediate,French,batterie,
bediende,immediate,High German,Bediente(r),
beest,immediate,French,beste,
begrijpen,immediate,High German,begreifen,
bek,immediate,French,bec,
bier,immediate,Latin,biber,
boemerang,immediate,English,boomerang,
boetseren,immediate,French (Picard),bocer,
bok,immediate,Celtic,*bukko-,
bom,immediate,French,bombe,
bont,immediate,Latin,punctus,
boot,immediate,English,boat,
boter,immediate,Latin,butyrum,
brief,immediate,Latin,brevis,
bril,immediate,Latin,beryllus,
bron,immediate,High German,Brunne,
buffel,immediate,French,buffle,
burger,immediate,High German,Bürger,
bus,immediate,English,bus,
cassave,immediate,French,cassave,
ceintuur,immediate,French,ceinture,
cirkel,immediate,Latin,circulus,
coyote,immediate,Spanish,coyote,
dansen,immediate,French,danser,
demon,immediate,Latin,daemōn,
dichter,immediate,Latin,dictator,
diner,immediate,French,dîner,
dinsdag,immediate,Latin,diês Martis,
direct,immediate,French,direct,
dokter,immediate,Latin,doctor,
dolfijn,immediate,French,"dalfin, dauphin",
donderdag,immediate,Latin,dies Iovis,
duizendpoot,immediate,Latin,milipeda,
duren,immediate,French,durer,
eed,immediate,Celtic,*oit,
eiland,immediate,Old Frisian,eiland,
eland,immediate,High German,elen,
elektriciteit,immediate,French,electricity,
elf (2),immediate,High German,Elf(e),
ezel,immediate,Latin,asinus,
familie,immediate,French,famille,
fee,immediate,French,fée,
film,immediate,English,film,
fluit,immediate,French,flûte,
fout,immediate,French,faute,
fruit,immediate,French,fruit,
geheim,immediate,High German,geheim,
gevaar,immediate,High German,Gefahr,
gif,immediate,High German,Gift,
graan,immediate,Latin,grānum,
grens,immediate,Low German,grenize,
grootmoeder,immediate,French,grand-mère,
grootouders,immediate,French,grand-parents,
grootvader,immediate,French,grand-père,
grot,immediate,French,grotte,
gulzig,immediate,French,golos,
haai,immediate,Old Norse,hár,
hangmat,immediate,Spanish,hamaca,
harnas,immediate,French,harnasc,
heersen,immediate,High German,herrschen,
heks,immediate,High German,Hexe,
hinderlaag,immediate,High German,Hinterhalt,
hut,immediate,High German,Hütte,
idee,immediate,French,idée,
ijzer,immediate,Celtic,*īsarno-,
